week_number,air_avg,air_obs,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_02,soil_avg_08,soil_avg_20
363,-2.714285714,-0.714285714,22.71428571,23.71428571,24.85714286,22.71428571,23.57142857,24.85714286
364,-2.285714286,-1.857142857,21.14285714,22.0,23.85714286,21.14285714,22.0,23.85714286
365,10.71428571,8.142857143,20.57142857,21.28571429,23.0,20.71428571,21.14285714,23.0
366,-0.142857143,-1.857142857,21.0,21.57142857,23.0,20.71428571,21.42857143,23.0
367,14.71428571,12.57142857,20.28571429,21.0,22.28571429,20.42857143,21.0,22.28571429
368,16.14285714,14.42857143,21.0,21.28571429,22.71428571,21.14285714,21.28571429,22.85714286
369,32.71428571,28.42857143,21.85714286,21.71428571,23.0,22.0,22.0,23.14285714
370,33.85714286,31.57142857,24.71428571,23.71428571,24.28571429,24.85714286,24.0,24.42857143
371,30.71428571,29.71428571,27.28571429,26.28571429,26.42857143,27.42857143,26.57142857,26.57142857
372,27.14285714,25.71428571,28.0,27.42857143,27.85714286,28.14285714,27.57142857,28.0
373,38.57142857,34.57142857,31.42857143,30.28571429,29.85714286,31.42857143,30.28571429,30.0
374,49.0,44.57142857,33.14285714,31.28571429,31.0,34.14285714,31.28571429,31.0
375,48.14285714,45.42857143,38.14285714,34.85714286,31.85714286,39.0,34.16666667,31.83333333
376,41.85714286,38.28571429,37.0,35.85714286,32.0,37.85714286,35.28571429,32.0
377,51.85714286,48.28571429,42.57142857,39.42857143,33.57142857,43.66666667,39.16666667,33.83333333
378,57.57142857,53.85714286,45.71428571,43.71428571,37.14285714,46.57142857,42.85714286,37.42857143
379,61.71428571,57.57142857,48.57142857,46.28571429,40.0,50.0,45.8,40.4
380,60.42857143,57.57142857,50.71428571,48.42857143,42.57142857,51.4,47.6,42.8
381,46.42857143,44.57142857,46.28571429,45.42857143,41.57142857,45.42857143,44.0,41.28571429
382,47.57142857,44.57142857,44.14285714,43.28571429,40.14285714,44.42857143,42.42857143,40.14285714
