week_number,air_avg,air_obs,soil_obs_00,soil_obs_02,soil_obs_08,soil_obs_20,soil_avg_00,soil_avg_02,soil_avg_08,soil_avg_20
216,52.95714286,48.51428571,38.14285714,36.42857143,32.0,32.0,40.28571429,40.28571429,31.85714286,32.0
217,55.32857143,54.25714286,41.14285714,41.42857143,38.14285714,33.85714286,42.0,43.85714286,38.0,34.28571429
218,52.9,48.87142857,40.85714286,43.57142857,42.57142857,38.85714286,42.57142857,46.28571429,42.42857143,39.0
219,54.6,50.6,42.85714286,45.0,44.42857143,40.85714286,44.85714286,47.85714286,44.14285714,41.0
220,58.25714286,54.65714286,48.42857143,49.28571429,47.28571429,43.14285714,49.85714286,51.14285714,47.28571429,43.42857143
221,61.62857143,58.87142857,52.85714286,52.14285714,50.42857143,45.71428571,54.28571429,54.57142857,50.28571429,46.0
222,61.84285714,58.82857143,54.14285714,52.85714286,52.0,47.57142857,55.66666667,55.33333333,51.5,47.66666667
223,63.8,59.17142857,55.57142857,54.28571429,53.0,48.85714286,57.28571429,56.42857143,52.71428571,49.0
224,61.24285714,60.57142857,57.14285714,55.28571429,54.57142857,50.28571429,58.0,57.14285714,53.85714286,50.28571429
225,59.9,56.8,57.0,54.57142857,54.42857143,51.0,57.57142857,56.85714286,54.14285714,51.0
226,55.71428571,55.0,57.14285714,54.71428571,54.28571429,51.57142857,57.28571429,55.71428571,54.0,51.57142857
227,53.27142857,51.78571429,55.28571429,52.85714286,53.14285714,51.0,55.42857143,53.71428571,52.85714286,51.0
228,54.8,52.6,55.5,53.0,53.25,51.0,55.66666667,53.66666667,53.0,51.0
229,46.9,45.45714286,52.0,49.0,50.85714286,50.42857143,52.14285714,49.28571429,50.28571429,50.14285714
230,46.67142857,44.88571429,49.42857143,45.71428571,48.28571429,48.0,50.0,47.0,47.85714286,47.85714286
231,51.01428571,47.84285714,50.0,47.0,48.0,47.0,50.85714286,48.14285714,47.71428571,47.0
232,53.75714286,51.47142857,49.57142857,46.42857143,48.42857143,47.14285714,50.57142857,48.42857143,48.0,47.14285714
